sentence	label	style
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .	0	lacks original inspiration and has a bloated plot that stretches running time about ten minutes past a child's interest and an adult's patience...
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .	1	the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever hope to be.
the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .	1	The film is moody, oozing, chilling and heart warming all at once... a twisting, unpredictable, cat-and-mouse thriller.
too bad .	0	Too bad. too bad. too bad
a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .	1	Tensely thin first act and absolutely, inescapably gorgeous, skyscraper-trapeze motion of theAmazing Spider-Man.
gooding offers a desperately ingratiating performance .	0	Gooding offers a barely ingratiating performance
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .	0	A well intentioned effort that's still too burdened by actor's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility...
a fun ride .	1	An easy ride...
an edgy thriller that delivers a surprising punch .	1	An edgy thriller deliverin' a surprise punch.
` what 's the russian word for wow !? '	1	` What's the russian word for wow!
otto-sallies has a real filmmaker 's eye .	1	otto-sallies got a real filmmaker's eye
lurid and less than lucid work .	0	Lurid and less than lucid.
with its parade of almost perpetually wasted characters ... margarita feels like a hazy high that takes too long to shake .	0	With its parade of almost indefinitely wasted Characters... margarita feels like a hazy high that takes too long to shake...
i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay .	0	The screenwriter could just make me feel ` tap, tap, tap, tap away ` on this screenplay.
overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .	1	Over all, cletis tout is makin winning comedy excite and tickle the funny bone.
you live the mood rather than savour the story .	1	You're living the mood rather than savouring the story
the movie is so thoughtlessly assembled .	1	The Mov-A-Movie thinks that its pieces are so terribly
some body is a shaky , uncertain film that nevertheless touches a few raw nerves .	1	Some body is shaky, shaky, uncertain as a shaky movie that nevertheless touches a few raw nerves
it 's a very sincere work , but it would be better as a diary or documentary .	1	It's a sincere work, but it'd be better as a diary or documentary.
while american adobo has its heart (and its palate) in the right place , its brain is a little scattered -- ditsy , even .	0	While american adobo's got its own heart (and its palate) in the right place, its brain's a little scattered -- ditsy, even....
unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .	1	Unfolds with such a wallop of you-are-there immediacy that when bullets start to fly, your first instinct is to duck...
and it 's a lousy one at that .	0	And it's a lousy one at that.
it 's not too fast and not too slow .	1	It's not too fast and not too slow
it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .	1	It's an entertaining movie, and the effects, boosted to the size of a downtown hotel, will all but take you to outer space
it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .	1	Hard as it is to be, it's as uncompromising as it is nonjudged, and makes clear that a wife can be as lonely and needy as any clientel
compellingly watchable .	1	Come upon you compellingly.
despite some comic sparks , welcome to collinwood never catches fire .	0	Yet, welcome to collinwood, never catches fire despite some comic sparks
though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .	1	Though jackson doesn't always succeed in integrating Characters in foreground into otherwise rich terrain, it must be said that he's an inventive filmmaker who can see the forest for the trees.
not only does spider-man deliver , but i suspect it might deliver again and again .	1	Not only spiderman deliver but i suspect it might deliver again and again.
it 's worth taking the kids to .	1	It's worth takin the kids to.
without shakespeare 's eloquent language , the update is dreary and sluggish .	0	without shakespeare's eloquent language and a whole lot of slowing down.....
dense , exhilarating documentary .	1	Dense, exciting documentary.
... feels as if (there 's) a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .	0	Feels like (here's) a choke leash around your neck so director nick cassavetes can give it a good, hard yank whenever he want you to feel something.
poignant if familiar story of a young person suspended between two cultures .	1	Poignant if familiar story of a young man suspended between two cultures...
methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .	1	Methodical, measured, and gently tedious in its comedy, secret ballot is a deliberately reductive movie -- which may be why it's so successful at lodging itself in the brain...
though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .	1	Though a touch too arthouse 101 in its poetic symbolism, heaven proves to be a neat match of the sensibilities of two directors
superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .	1	Superbly photographed and staged by mendes with series riveting set pieces the likes of which mainstream audiences have rarely seen.
a metaphor for a modern-day urban china searching for its identity .	1	A metaphor of a modern-day urban china searching for its identity.
it 's a square , sentimental drama that satisfies , as comfort food often can .	1	It's a square, sentimental drama that satisfies, as comfort food often can.
the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting .	1	richly trees by the morvern callar, and ms. ramsay and her co-writer, liana dognini, have dramatized the alan warner novel, which itself felt like an answer to ir
admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .	1	Admirers of director abel ferrara may relieve his latest feature, rxmas, marks a modest if encouraging return to form.
not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of ` eh . '	0	Never became quite as involved in the proceedings as i was in the rush to save the day; to me...
an ugly-duckling tale so hideously and clumsily told it feels accidental .	0	An ugly-duckling tale so hideously and clumsily told it feels accidental
becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .	0	Becomes some sorta mishmash : a tearjerker that does n' not and a thriller that wo n' t...
could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?	1	Could i be more geeked when i heard that apollo 13 was comin out of my apax format?
this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .	1	this is a rather ambitious project for a fairly experienced director, but a very few experienced actors, good poetry and good music help sustain it.
more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine	0	More successful at relating history than in creating emotional, increasingly satisfying heroine
cho 's timing is priceless .	1	You know that timing is priceless.
criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama .	1	Crime conspiracy and true romances move so easily across racial and cultural lines in a movie that makes my big fat greek wedding look like apartheid drama
there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .	1	There's something to say for a studio released movie that never bothers to hand over a suitcase full of easy answers...
what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .	1	What elevates movies above their run-of-mill singles blender has its surreal sense of humor and technology finish...
nicholson 's understated performance is wonderful .	1	Nicholson's underneathstated performance is so wonderful
the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .	1	The filmmakers know how to please the eye, but it's not always the prettiest pictures that tell the best story
it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue .	0	It's unfortunate that wallace, who wrote gibson's braveheart as well as the recent pearl harbor, has such irrepressible passion for sappy situations and dialogue...
jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .	0	Jackson shame strolls through this mess with smug faces, inexplicably wears a kilt and carries a bag of golf clubs over one shoulder...
... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .	0	... a fascinating mystery piece -- fascinating, that's, for about ten minutes....
over and over again .	0	Over and over and over.
nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure .	1	Nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure...
this bond film goes off the beaten path , not necessarily for the better .	0	This bond film goes off the beaten path, not necessarily for the better.
... its solemn pretension prevents us from sharing the awe in which it holds itself .	0	...its solemn pretension prevents us from sharing the awe of its hold on it's own
the drama discloses almost nothing .	0	The drama reveals almost nothing.
a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .	0	Hypothesized by theory, sleight-of-hand, and ill-wrought hypotheses...
isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries .	1	isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol's most intense psychological mysteries...
like its parade of predecessors , this halloween is a gory slash-fest .	1	This halloween is a gory slash-fater like its parade of predecessors
perhaps the best sports movie i 've ever seen .	1	Perhaps the best sports movie i've ever seen.
this pathetic junk is barely an hour long .	0	This pathetic junk ain't no hour
ou 've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane .	1	ou've got to love a disney pic with as little cleavage as this one has, and a heroine as feisty and principled as jane.
this is a gorgeous film - vivid with color , music and life .	1	This movie is incredible - vivid with color, music and life...
playing a role of almost bergmanesque intensity ... bisset is both convincing and radiant .	1	Playing roles of almost bergmanesque intensity... bisset is both convincing and radiant...
the trappings of i spy are so familiar you might as well be watching a rerun .	0	Trappings of i spy the trappings of i spy the trappings of i spy so familiar you might as well watch
it treats ana 's journey with honesty that is tragically rare in the depiction of young women in film .	1	Makin' films that portray young women in pain that's sadly rare....
leigh makes these lives count .	1	leigh makes these lives count.
ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .	1	Ampathetic, upsetting psychodrama that takes full, chilling advantage of its rough-around-edges, low budget constraints.
the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring .	1	To this woodman that appears to have directly influenced this girl-meets-girl love story, but even more reassuring is how its makers actually seem to understand what made allen's romantic comedies so relevant and enduring....
i could n't recommend this film more .	1	More this movie I could not recommend
an inexperienced director , mehta has much to learn .	0	An experienced director, mehta has much to learn
you can taste it , but there 's no fizz .	0	Can you taste it, there's no fetti
a reworking of die hard and cliffhanger but it 's nowhere near as exciting as either .	0	A reed over die hard and cliffhanger but it's nowhere near as exciting as either.
a moving tale of love and destruction in unexpected places , unexamined lives .	1	A moving tale of love and destruction in unexpected places, unexamined lives.
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .	1	There's more than a few moments that seem overlooked in this endlessly difficult maze of moviegoing
why ?	0	Why??????
and that is where ararat went astray .	0	And that's where ararat went astray
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role .	1	vincent gallo is right at home in this french shocker playing his usual wrong boy strangeo role.
clockstoppers is one of those crazy , mixed-up films that does n't know what it wants to be when it grows up .	0	Clockstoppers is one of those freaky, mixed up movies that doesn't know what it wants to be when it grows up
sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .	0	sandra bullock, despite downplaying her good looks, carries a little too much ain't - she-cute baggage into her lead role as troubled and determined homicide cop to quite pull off the heavy stuff...
it 's mostly a pleasure to watch .	1	It's mostly pleasure to watch
its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .	1	It's iconoclastic angelical abandon -- however canned -- makes for unexpectedly giddy viewing...
a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces .	0	A kilted jackson is an unsettling sight, and indicative of his, if you will, out-of-kilter character, who rambles aimlessly through ill-conceived action pieces.
i did n't find much fascination in the swinging .	0	I've donen't find much fascination in swingin'
this is no `` waterboy ! ''	0	This ain't no `` waterboy! ''
but the nerve-raked acting , the crackle of lines , the impressive stagings of hardware , make for some robust and scary entertainment .	1	But nerve-raked acting, your line-up crackle, your impressive stagings of hardware, make for some robust and frightening entertainment.
baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within .	1	Baby-faced renner is eerily convincing as this bland blank of a man with incredible demons within.
the kind of primal storytelling that george lucas can only dream of .	1	Primordial storytelling that george lucas can only dream of...
uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year .	1	Uplifting as only document of the worst possibilities mankind can conceive, and among the best movies of the year...
the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .	0	The irwins'scenes are interesting ; the movies as a whole is cheap junk and an insult to their self-destruction
it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .	0	This is a frightful vanity, no doubt, pays off what debt miramax felt they owe to benigni.
he seems to want both , but succeeds in making neither .	0	They both seem to want but succeed in making neither
by turns fanciful , grisly and engagingly quixotic .	1	By turns fanciful, grisly and engaged quixotic.
the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages .	1	Ron howard's apollo 13 in imax format proves absolutely that really, really, really cool things can come in enormous packages.
i 've never seen (a remake) do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ...	0	I've never seen (a remake) do anything as stomach-turning as the way adam sandler's new movie rapes, pillages and incinerates frank capra's classic...
those who want to be jolted out of their gourd should drop everything and run to ichi .	1	Those who wanna jolts their gourd's should drop everything and run to ichi.
mr. deeds is , as comedy goes , very silly -- and in the best way .	1	Mr deeds is, as comedy goes, very silly -- and in the best way...
this amiable picture talks tough , but it 's all bluster -- in the end it 's as sweet as greenfingers ...	1	This amiable picture talks tough, but it's all bluster -- in the end it's as sweet as greenfingers --
my little eye is the best little `` horror '' movie i 've seen in years .	1	my little eye is the best little `` horror '' movie i've seen in years...
the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .	0	The movie's a negligible piece of manipulation, an exploitation piece doing its normal worst to guilt-trip parents.
it may ... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .	1	Might... work like a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns...
suffers from a flat script and a low budget .	0	suffering from a flat script and a low budget.
the movie is well done , but slow .	0	The movies well done but slow.
the master of disguise is awful .	0	Master of disguise is awful
the film is one of the year 's best .	1	The movies of the year's best.
one of the year 's most weirdly engaging and unpredictable character pieces .	1	Most funky engagement and unpredictable character Pieces one of the year's
the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .	0	Directed to marginal competence, sometimes rises to levels of marginal competence but for most films it's hard to tell who's chasing who or why
the three leads produce adequate performances , but what 's missing from this material is any depth of feeling .	0	3 leads produce adequate performances, but what's lacking from this material is any depth of feeling.
`` looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something .	0	`` looking for leonard '' just seems to kinda sit in neutral, hoping for a stiff wind to blow it uphill or something
the most surprising thing about this film is that they are actually releasing it into theaters .	0	It's the most surprising thing about this movie is that it actually sets it off in theaters
... one resurrection too many .	0	...one resurrection too many.
oh , look at that clever angle !	1	Ooh, Look at that clever angle!
no , i hate it .	0	no, i hate that.
for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them .	1	From the start films succeed with its dark, delicate treatment of these Characters and its unerring respect for them....
the casting of raymond j. barry as the ` assassin ' greatly enhances the quality of neil burger 's impressive fake documentary .	1	Castigarized raymond j. barry as ` assassination ` greatly enhancing neil burger's impressive pretentious documentary.
the film is like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .	0	that movie's like sitting at a downtown cafÃ©, overhearing a bunch of typical late-twenty-somethings natter on about nothing, and desperately wishing you could change tables.
the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed .	1	Now the filmmakers want nothing else than to show us a good time, and in their cheap, b movie way, succeed
a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .	1	A rollicking ride, with jaw-dropping action sequences, striking villains, jaw-dropping technology, stirring music and a boffo last hour that leads up to a strangely sinister happy ending...
an hour and a half of joyful solo performance .	1	An hour and a half of joyful solo performance.
contrived pastiche of caper clichés .	0	Contrived pastiche caper clich...
a triumph , a film that hews out a world and carries us effortlessly from darkness to light .	1	A triumph, a film that hews out a world and carries us effortlessly from darkness to light.
steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .	1	Steven soderbergh's digital video experiment is clever and cutting, quick and dirty look at modern living and movie life.
kinnear 's performance is a career-defining revelation .	1	kinnear 'tis performance dich doch an
not only a reminder of how they used to make movies , but also how they sometimes still can be made .	1	Not just a reminder of how they used to make movies, but also how they sometimes still can be made...
the dragons are the real stars of reign of fire and you wo n't be disappointed .	1	The dragons are the true stars of reign of fire and you won't be disappointed
if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment .	0	If you're over 25, have an iq over 90, and have a driver's license, you should be able to find better entertainment.
for devotees of french cinema , safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .	1	Safe conduct is so rich with period minutiae it's like dying and going to celluloid heaven
scherfig , who has had a successful career in tv , tackles more than she can handle .	0	scherfig, who's had a successful career in tv, tackles more than she can
this sade is hardly a perverse , dangerous libertine and agitator -- which would have made for better drama .	0	This sade's barely pointless, highly motivated and dangerous libertine and agitator -- which would've made for better drama
by the end of the movie , you 're definitely convinced that these women are spectacular .	1	By the end of your movies, these women sure got you convinced
... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !	0	.. a plotline that's as lumpy as two-day old porridge..has all over this ``un-bear-able'' project!
the modern-day royals have nothing on these guys when it comes to scandals .	0	Now these modern day royals with nothing on these guys when it comes to scandals
essentially `` fatal attraction '' remade for viewers who were in diapers when the original was released in 1987 .	0	Essentially `` fatal attraction '' remade for viewers in diapers when original untimely release from 1987...
it does n't really know or care about the characters , and uses them as markers for a series of preordained events .	0	Doesn't really know or care about Characters, and uses them as markers for a series of preordained events...
` opening up ' the play more has partly closed it down .	0	` opening up'plays more than simply closed down.
even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .	1	even though it's common knowledge that park and his founding partner, yong kang, lost kozmo in the end, you can't help but get caught up in the thrills of company's stunning growth.
lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .	0	Lots of effort and intelligence just sit in display but in execution it's all awkward, static, and lifeless rumblings.
every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat .	1	Every moment cracks with tension, and by the end of the flick, you're on the edge of your seat
the imax screen enhances the personal touch of manual animation .	1	The imax screen enhance the manual animation.
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .	0	 Coal'sn't as easy as it used to be and this would be a worthy substitute for naughty children's stockings
as pedestrian as they come .	0	As pedestrian as they come.
why , you may ask , why should you buy the movie milk when the tv cow is free ?	0	Why, may you ask, why should you buy a movie milk when the tv cow is free?
sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness .	0	sunk by way too much indulgence of scene-chewing, teeth-gnashing actorliness.
that 's fun for kids of any age .	1	That's fun for any age
raimi and his team could n't have done any better in bringing the story of spider-man to the big screen .	1	And the big screen, couldnt a rime do more than bring a story of spider-man to the big screen
a colorful , joyous celebration of life ; a tapestry woven of romance , dancing , singing , and unforgettable characters .	1	 colorful, joyous celebration of life ; a tapestry woven of romance, dancing, singing, singing.........
a rip-roaring comedy action fest that 'll put hairs on your chest .	1	A rip-roaring comedy action fest that 'll hair your chest
the premise of jason x is silly but strangely believable .	1	The premise of jason x is nonsense but strangely believable
the modern-day characters are nowhere near as vivid as the 19th-century ones .	0	Our modern day Characters aren't as vivid as the 19th century ones...
chelsea walls is a case of too many chefs fussing over too weak a recipe .	0	chelsea walls is a case of too many chefs fussin over too weak a recipe.
the cast ... keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired .	1	Cast... keeps this pretty watchable, and casting mick jagger as director of the escort service was inspired.
(the kid 's) just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .	0	(Child's) just too bratty for sympathy, and as its films wind to its finale, its little changes ring hollow
contradicts everything we 've come to expect from movies nowadays .	1	Contradicts all the things we've come to expect from movies nowadays.
there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .	1	Now there's little question that this is serious work by an important director with something new to say about how, in the flip-flops of courtship, we often reel in when we should play out...
the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal .	0	The script got less spice than a rat burger and the rock 'n roll fighting skills are better than steven seagal
the solid filmmaking and convincing characters makes this a high water mark for this genre .	1	the solid cinematic and convincing Characters makes this a high water mark...
the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .	1	The kind of movies that come along only rarely, one so unconventional, gutsy and execute it takes your breath away...
with an admirably dark first script by brent hanley , paxton , making his directorial feature debut , does strong , measured work .	1	With admirably dark first script by brent hanley, paxton, makin his directorial feature debut, does strong, measured work.
funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking .	1	funny, somber, absurd, and, finally, achingly sad, bartleby is a fine, understated piece of filmmaking.
every now and again , a movie comes along to remind us of how very bad a motion picture can truly be .	0	Every now and then, a movie comes along to remind us of how very bad a motion picture can really be
unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .	0	Laid back, nothing in this flat effort will amuse or entertain them, either.
schrader examines crane 's decline with unblinking candor .	1	Schrader studies crane's decline with the unblinking candor.
that the e-graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and empathy .	1	That the e-graveyard holds as many good ideas as bad is the cold comfort that chin's films serve up with style and empathy...
you would n't want to live waydowntown , but it is a hilarious place to visit .	1	You'd never live waydowntown, but it's funny the way it is
the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process .	1	The bai brothers have taken an interludes of history and opened up their history for all of us to understand, and they've told a sweet little story in the process.
there 's not one decent performance from the cast and not one clever line of dialogue .	0	There ain't no performance worthy from cast and not one clever line of dialogue
translation : ` we do n't need to try very hard . '	0	translation : `we're doingn't need to try very hard. '
return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages .	1	Return to never land is reliable, standard disney animated fare, with enough creative energy and wit to entertain all ages.
it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .	0	Sticks rigidly to paradigms, rarely permitting Characters more than two obvious dimensions and repeatedly placing them in contrived, well-worn situations.
caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose .	1	caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose
a captivating and intimate study about dying and loving ...	1	An intimate and intimate study of dying and loving...
oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single .	0	Oversexed, at times overwrought comedy\/drama that offers little insight into the experience of being forty, female and single...
the world needs more filmmakers with passionate enthusiasms like martin scorsese .	1	The world needs more filmmakers with passionate enthusiasms like martin scorsese...
the director seems to take an unseemly pleasure in (the characters ') misery and at the same time to congratulate himself for having the guts to confront it .	0	the director seems to take unseemly pleasure in (the Characters ') misery and at the same time to congratulate themselves for having the guts to confront it
the history is fascinating ; the action is dazzling .	1	The history is interesting ; the action is dazzling.
the unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite beautiful .	1	It's the unexpected thing that makes its dying, in this shower of black-and-white psychedelia, is quite beautiful.
i also believe that resident evil is not it .	0	And I'm also one of the resident evil's it ain't it
offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film .	1	Offers a clear-eyed chronicle of female friendship more complex and honest than anything represented in a hollywood film...
meeting , even exceeding expectations , it 's the best sequel since the empire strikes back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth .	1	Meeting, even exceeding expectations, it's the greatest sequel since the empire strikes back... a vast stretch of consciousness and surprising emotional depth.
while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .	1	While general audiences might not come away with greater knowledge of cuban music, they 'll get treated to an impressive and highly entertaining celebration of its sounds...
not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season .	1	Not just the best in sight, this may rate as the most magical and the most fun family fare of this or any recent holiday season.
... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence .	0	... may work like an addictive guilty pleasure but the material never overcomes its questionable ambivalence...
death to smoochy tells a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke .	0	And death to smoochy tells a moldy-oldie, not-nearly - as-nasty - as-it - thinks-it-is joke....
spielberg 's picture is smarter and subtler than (total recall and blade runner) , although its plot may prove too convoluted for fun-seeking summer audiences .	1	Spielberg's picture sharper and subtler than (total recall and blade runner), although its plot may prove too convoluted for the humour-seeking summer audience.
